,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.1,30,150,rank:ndcg,0.3958729247410459
0,0.05,15,150,rank:ndcg,0.3958605892420352
0,0.1,20,200,rank:map,0.3958028514855052
0,0.1,30,200,rank:pairwise,0.3955512421261863
0,0.1,12,200,rank:map,0.3954676834755084
0,0.05,15,500,rank:pairwise,0.39546182744474784
0,0.01,15,110,rank:pairwise,0.39546167946210997
0,0.1,15,110,rank:ndcg,0.3954527859268456
0,0.05,12,500,rank:pairwise,0.39540637000405415
0,0.1,20,150,rank:ndcg,0.3953178504885592
0,0.025,15,110,rank:pairwise,0.3952966552472851
0,0.01,6,150,rank:ndcg,0.3952839802375159
0,0.05,30,150,rank:ndcg,0.3951903698490091
0,0.01,30,500,rank:ndcg,0.3951861765831553
0,0.1,12,150,rank:pairwise,0.39518288512483307
0,0.05,15,200,rank:pairwise,0.3950227599202762
0,0.025,20,110,rank:pairwise,0.3949873353425951
0,0.05,15,150,rank:pairwise,0.3949099446211101
0,0.1,12,200,rank:ndcg,0.3948474646689714
0,0.01,20,300,rank:map,0.3947838773432348
0,0.05,20,200,rank:pairwise,0.3945982630812126
0,0.4,8,150,rank:pairwise,0.39438973995911225
0,0.3,10,110,rank:ndcg,0.39427286603394135
0,0.1,12,500,rank:ndcg,0.394232586330702
0,0.4,8,150,rank:map,0.39422464409777297
0,0.01,20,200,rank:pairwise,0.3940769009649273
0,0.1,20,150,rank:pairwise,0.3940394023236523
0,0.025,15,200,rank:pairwise,0.39403912450843936
0,0.1,15,500,rank:pairwise,0.3939751876138455
0,0.025,30,200,rank:map,0.393930171141364
0,0.01,30,300,rank:map,0.3939145004693218
0,0.05,15,110,rank:pairwise,0.3938852155625665
0,0.05,15,300,rank:pairwise,0.3938181953397757
0,0.01,20,300,rank:pairwise,0.3937602263376772
0,0.025,30,200,rank:ndcg,0.3937094210200953
0,0.05,20,150,rank:map,0.3936329469741317
0,0.05,30,150,rank:map,0.3935312148840989
0,0.1,30,150,rank:pairwise,0.3934443481184805
